carrierName,carrierCode
퀸빌크스 항공,QBA
퀵젯 카고 항공,QO
라파비아,MTL
라일라 에어,RIH
레이븐 알라스카,7H
라야 에어웨이,TH
리얼 통가 항공,RLT
레드에어,L5
홍해 항공,RS
레더윙,WZ
R1 항공,TSH
리지널 에어 서비스,8N
리지널익스프레스 어메리카,EX
리지날스카이,4P
릴라이언트에어i터,L0
리퍼블릭 에어웨이즈,YX
렉스 항공,ZL
림분항공화물,RI
룸카고항공,NJ
로라이마항공,ROR
로시야항공,FV
로타나 젯 항공,RG
로양에어플라이트,RAX
로열모로코항공,AT
로열 에어 필리핀,RW
로얄브루나이항공,BI
로얄요르단항공,RJ
로얄 잠비아 항공,3Q
러스제트,RSJ
루스라인,7R
러시안 스카이 항공,1T
루타카항공,5R
RVL 그룹,REV
르완다 항공,WB
라이언 에어서비스,7S
라이언에어,FR
라이언에어 영국,RK
류큐 에어 커뮤터,RAC
시베리아항공,S7
사파리항공,FA
사파리익스프레스카고,ZF
사파리링크항공,F2
세이프에어컴퍼니,K3
사하항공,IRZ
세인트바스커뮤터,PV
살람 에어,OV
살사 다아이티,SLC
사모아 에어웨이,OL
산후안항공사,SJN
SANSA,RZ
SAP,5S
SAS,SK
SAS 연결,SL
SAS 링크,SVS
SATA 에어 아조레스,SP
사테나 항공,9R
사우디아 항공,SV
스캇 항공사,DV
시닉 항공,YR
스쿳,TR
씨 항공,SIB
시본 항공,BB
시에어 인터내셔널,XO
2알한겔스크 항공부문,OAO
세페해란 항공,SPN
세페해란 항공,IS
세린에어,ER
서번트 에어,8D
아에로서비스 데 로스엔젤레스,AND
세븐에어,RVP
세버스탈 에어컴퍼니,D2
SF 항공,O3
산동항공,SC
상해항공,FM
샤프 항공,SH
선전 항공,ZH
시락아비아,5G
슈리항공,N9
사천항공,3U
시달에어카고,SID
시에라 패시픽 항공,SI
실크웨이항공,ZP
실크웨이 웨스트 항공사,7L
실버에어(체코),SLD
실버 에어웨이,3M
실버스톤에어서비스,K5
시마글 항공,SMN
싱가포르항공,SQ
스키퍼 항공,HK
스콜 항공,CDV
SKS 항공,KI
스카이항공(칠레),H2
스카이 알프스 항공,BQ
스카이 앙코르 항공사,ZA
스카이 카나,RD
스카이 익스프레스,GQ
스카이게이트항공,U3
스카이 하이 에비에이션 서비스,DO
스카이 KG 항공,Y3
스카이 말리,ML
스카이 페루,H8
스카이 프라임,UY
스카이 셔틀 헬리콥터,HHK
스카이웨이에어,SAB
스카이에어,S8
스카이버스 화물항공,KYG
스카이제트 항공,M8
스카이리스카고,GG
스카이마크 항공,BC
스카이네트(아르메니아),SKJ
스카이서비스 비즈니스 에비에이션,SYB
스카이택시(폴란드),TE
스카이 트레이드어,SND
스카이트랜스,QN
스카이업,PQ
스카이와드 익스프레스,OW
스카이웨이 코스타리카,LC
스카이웨스트 항공,OO
스마트 에비에이션,5N
스마팅스 항공,6Y
스마팅스 항공 에스토니아,MYX
스마팅스 말타,2N
스마트윙스,QS
스마트윙스 헝가리,7O
스마트윙스 폴란드,3Z
스마트윙스 슬로바키아,6D
스모키베이 에어,2E
솔 파라과이,SGU
솔라시드 에어 ,6J
솔런트 에비에이션,SET
솔렌타 에비에이션 가봉,SVG
솔렌타 에비에이션 모잠비크,FW
솔리네어,SP
솔로몬항공,IE
솜몬에어,SZ
손에어,SOR
송버드 항공,SGB
남아프리카항공,SA
서던에어i터,PL
서던 항공사 익스프레스,9X
